
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
33,Greg Anderson,PF,6-10,230,June 22 1964,3,University of Houston
10,Mookie Blaylock,PG,6-0,180,March 20 1967,1,University of Oklahoma
31,Sam Bowie,C,7-1,235,March 17 1961,5,University of Kentucky
35,Jud Buechler,SF,6-6,220,June 19 1968,R,University of Arizona
44,Derrick Coleman,PF,6-10,230,June 21 1967,R,Syracuse University
15,Lester Conner,PG,6-4,180,September 17 1959,7,Oregon State University
22,Chris Dudley,C,6-11,235,February 22 1965,3,Yale University
12,Tate George,PG,6-5,190,May 29 1968,R,University of Connecticut
30,Derrick Gervin,PF,6-8,200,March 28 1963,1,University of Texas at San Antonio
54,Jack Haley,PF,6-10,240,January 27 1964,2,University of California Los Angeles
6,Roy Hinson,PF,6-9,210,May 2 1961,7,Rutgers University
20,Kurk Lee,SF,6-3,190,June 3 1967,R,Towson University
5,Terry Mills,PF,6-10,230,December 21 1967,R,University of Michigan
34,Chris Morris,SF,6-8,210,January 20 1966,2,Auburn University
3,Drazen Petrovic,SG,6-5,195,October 22 1964,1,
24,Reggie Theus,SG,6-7,190,October 13 1957,12,University of Nevada Las Vegas
