
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Dick Barnett,SG,6-4,190,October 2 1936,11,Tennessee State University
24,Bill Bradley,SF,6-5,205,July 28 1943,4,Princeton University
22,Dave DeBusschere,PF,6-6,220,October 16 1940,9,University of Detroit Mercy
34,Greg Fillmore,C,7-1,240,March 7 1947,1,Cheyney University of Pennsylvania
10,Walt Frazier,PG,6-4,200,March 29 1945,4,Southern Illinois University
18,Phil Jackson,PF,6-8,220,September 17 1945,3,University of North Dakota
32,Jerry Lucas,C,6-8,230,March 30 1940,8,Ohio State University
26,Eddie Mast,PF,6-9,220,October 3 1948,1,Temple University
7,Dean Meminger,SG,6-0,175,May 13 1948,R,Marquette University
42,Eddie Miles,SG,6-4,195,July 5 1940,8,Seattle University
15-33,Earl Monroe,SG,6-3,185,November 21 1944,4,Winston-Salem State University
16,Charlie Paulk,PF,6-8,219,June 14 1946,2,Northeastern State University
5,Mike Price,SG,6-3,200,September 11 1948,1,University of Illinois at Urbana-Champaign
23-43,Luther Rackley,C,6-10,220,June 11 1946,2,Xavier University
19,Willis Reed,C,6-9,235,June 25 1942,7,Grambling State University
6,Mike Riordan,SF,6-4,200,July 9 1945,3,Providence College
9,Dave Stallworth,SF,6-7,200,December 20 1941,4,Wichita State University
