
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Benoit Benjamin,C,7-0,250,November 22 1964,11,Creighton University
21,Marcus Camby,C,6-11,220,March 22 1974,R,University of Massachusetts Amherst
13,Doug Christie,SG,6-6,200,May 9 1970,4,Pepperdine University
35,Earl Cureton,PF,6-9,210,September 3 1957,11,University of Detroit Mercy
44,Hubert Davis,SG,6-5,183,May 17 1970,4,University of North Carolina
55,Acie Earl,C,6-10,240,June 23 1970,3,University of Iowa
54,Popeye Jones,PF,6-8,250,June 17 1970,3,Murray State University
32,Martin Lewis,SF,6-5,210,April 28 1975,1,Seward County Community College
33,Brad Lohaus,PF,6-11,230,September 29 1964,9,University of Iowa
25,John Long,SG,6-5,195,August 28 1956,13,University of Detroit Mercy
2,Oliver Miller,C,6-9,280,April 6 1970,4,University of Arkansas
24,Jimmy Oliver,SG,6-5,205,July 12 1969,2,Purdue University
31,Shawn Respert,SG,6-1,195,February 6 1972,1,Michigan State University
34,Carlos Rogers,PF,6-11,220,February 6 1971,2,Tennessee State University
7,Clifford Rozier,C,6-11,245,October 31 1972,2,University of Louisville
24,Reggie Slater,PF,6-7,215,August 27 1970,2,University of Wyoming
20,Damon Stoudamire,PG,5-10,171,September 3 1973,1,University of Arizona
3,Zan Tabak,C,7-0,245,June 15 1970,2,
12,Donald Whiteside,PG,5-10,160,April 25 1969,R,Northern Illinois University
42,Walt Williams,SF,6-8,219,April 16 1970,4,University of Maryland
4,Sharone Wright,C,6-11,260,January 30 1973,2,Clemson University
